id,word,rank,stars,part_of_speech,meaning_ja,definition_en,example_1_en,example_1_ja,example_2_en,example_2_ja,example_3_en,example_3_ja
1484,tourist,1484,★★★☆☆,noun,旅行者,someone who visits a place for pleasure and does not live there,A curious tourist asked for directions to the historic stone watermill.,好奇心旺盛な観光客が、歴史ある石造りの水車小屋への道を尋ねてきた。,We decided to play tourist in our own hometown and visit the botanical conservatory.,私たちは自分の街で観光客気分を味わおうと、植物園の温室を訪れることにした。,The lakeside cafe was buzzing with happy tourists enjoying gelato on a sunny day.,湖畔のカフェは、晴れた日にジェラートを楽しむ幸せそうな観光客たちで賑わっていた。
1485,component,1485,★★★☆☆,noun,構成要素、部品,one of the parts that consists something,Fresh ripe tomatoes are the key flavor component in this homemade marinara sauce.,新鮮で完熟したトマトは、この自家製マリナーラソースの風味の最も肝心な要素だ。,Regular gentle exercise is an essential component of a happy and healthy lifestyle.,定期的な無理のない運動は、幸福で健康的なライフスタイルの欠かせない構成要素だ。,He carefully checked every component of the bicycle brakes before the downhill ride.,彼は下り坂を走る前に、自転車のブレーキのあらゆる部品を念入りに点検した。
1486,afford,1486,★★★☆☆,verb,買うことができる,to be able to pay for (something),"By cooking at home most evenings, we can easily afford our weekend cafe treats.",普段の夜は自炊をすることで、私たちは週末のカフェ巡りを無理なく楽しむ余裕ができる。,We can't afford to forget watering the young saplings during this dry heatwave.,この乾燥した猛暑のさなかに、若木への水やりを怠るわけにはいかないよ。,She was delighted to find that she could comfortably afford the antique oak chair.,彼女はそのアンティークのオーク材の椅子が無理のない値段で買えると知って大喜びした。
1487,lawyer,1487,★★★☆☆,noun,弁護士,a person whose job is to guide and assist people in matters relating to the law,Our neighbor is a kind real estate lawyer who loves gardening and baking sourdough.,近所のお隣さんは親切な不動産弁護士で、園芸とサワードウパン作りが大好きだ。,They consulted a family lawyer to prepare their property deed smoothly.,彼らは不動産の譲渡手続きを滞りなく進めるため、家庭法に詳しい弁護士に相談した。,The retired lawyer volunteered to teach civics classes at the community library.,引退した弁護士は、地域の図書館で市民講座を教えるボランティアを引き受けた。
1488,suspect,1488,★★★☆☆,verb,疑う,to think that (someone) is possibly guilty of a crime or of doing something wrong,I suspect that someone sneaking into the kitchen ate the last chocolate chip cookie.,台所に忍び込んだ誰かが最後のチョコチップクッキーを食べたんじゃないかと私は睨んでいる。,"From the dark clouds gathering over the hill, I suspect it will rain before evening.",丘の上に集まってきた黒い雲を見るに、夕方前には雨が降るんじゃないかと思う。,She didn't suspect for a moment that her friends were planning a surprise garden party.,彼女は友人たちがサプライズのお庭パーティーを企てているとは夢にも思わなかった。
1489,cup,1489,★★★☆☆,noun,カップ,a small round container that often has a handle and that is used for drinking liquids (such as tea and coffee),She poured a steaming cup of Earl Grey tea and sat beside the window.,彼女は湯気の立つアールグレイティーをカップに注ぎ、窓辺に腰掛けた。,Add one cup of whole milk and half a cup of rolled oats to the saucepan.,鍋に牛乳1カップとオートミール半カップを入れてください。,He gently cupped the delicate fallen sparrow in his warm hands.,彼は落ちていたデリケートな小スズメを、温かい両の手のひらで優しく包み込んだ。
1490,description,1490,★★★☆☆,noun,描写,"a statement that tells you how something or someone looks, sounds, etc. : words that describe something or someone","The recipe gave a clear, detailed description of how to knead brioche dough.",そのレシピには、ブリオッシュ生地のこね方についての分かりやすく丁寧な説明があった。,Her lively description of the mountain cabin made us want to visit immediately.,その山小屋についての彼女の生き生きとした描写を聞いて、すぐにでも行きたくなった。,The cozy cafe fit the exact description our neighbor gave us yesterday.,その落ち着くカフェは、昨日お隣さんが教えてくれた説明と寸分違わずぴったりだった。
1491,confidence,1491,★★★☆☆,noun,自信,a feeling or belief that you can do something well or succeed at something,Practicing baking simple bread rolls gave her confidence in the kitchen.,簡単なロールパンを焼く練習を重ねたことで、彼女は料理への自信を深めた。,He spoke with quiet confidence when presenting his garden design ideas.,彼は庭のデザインのアイデアを披露する際、落ち着いた自信を持って話した。,Having sturdy winter boots gives you confidence when walking on icy paths.,頑丈な冬用ブーツを履いていれば、凍りついた小道を歩くときも安心感が持てる。
1492,industrial,1492,★★★☆☆,adjective,産業の,connected with industry; with a lot of factories,They decorated their kitchen with an industrial style featuring exposed brick and iron shelves.,彼らはむき出しのレンガとアイアン棚を取り入れた、インダストリアル調にキッチンを飾った。,An old industrial warehouse downtown was repurposed into a vibrant indoor food hall.,繁華街にある古い工業用倉庫が、活気ある屋内フードホールとして生まれ変わった。,The sturdy industrial sewing machine could effortlessly stitch through thick canvas.,その頑丈な工業用ミシンは、分厚い帆布生地も楽々と縫い合わせることができた。
1493,complain,1493,★★★☆☆,verb,不平を言う,"to say or write that you are unhappy, sick, uncomfortable, etc., or that you do not like something","He never seems to complain, even when weeding the garden in the afternoon heat.",彼は午後の暑さの中で庭の草むしりをしているときでさえ、決して不平をこぼさない。,The cat began to complain loudly at the kitchen door when his dinner was five minutes late.,晩ごはんが5分遅れただけで、猫はキッチンのドアのところで大声で文句を言い始めた。,We really have nothing to complain about when sitting in the garden on a sunny day.,晴れた日に庭に座っていると、本当に何の不平不満もない幸せを感じる。
1494,perspective,1494,★★★☆☆,noun,観点,"a way of thinking, an attitude toward something",A peaceful morning walk by the water always helps put daily worries into perspective.,水辺での穏やかな朝の散歩は、日々の悩みを冷静に見つめ直すのにいつだって役立つ。,"Listening to her grandmother's stories gave her a fresh, appreciative perspective on life.",祖母の昔話を聞くことで、彼女は人生に対する新鮮で感謝に満ちた視点を得た。,"From this hilltop perspective, the entire valley looks peaceful dusted with autumn colors.",この丘の上の見晴らしから見ると、谷全体が秋色に染まってとても穏やかに見える。
1495,error,1495,★★★☆☆,noun,誤り、エラー,"something that is not correct, a mistake",I made a small error and added a teaspoon of baking soda instead of baking powder.,ベーキングパウダーの代わりに重曹を小さじ1杯入れてしまうという、ちょっとしたミスをした。,A little trial and error is a natural and fun part of learning how to garden.,ちょっとした試行錯誤は、ガーデニングのコツを覚えるための自然で楽しい過程だ。,She spotted the typo error on the printed menu and corrected it with a gentle smile.,彼女は印刷されたメニューの誤植に気づき、優しく微笑みながら修正した。
1496,arrest,1496,★★★☆☆,noun,逮捕する,"to use the power of the law to take and keep (someone, such as a criminal)",The bright crimson autumn foliage along the riverbank was sure to arrest your gaze.,川岸に沿って広がる鮮やかな深紅の紅葉は、誰もが思わず目を奪われるほどの美しさだった。,A sudden aroma of freshly ground cinnamon worked to arrest her attention immediately.,挽きたてのシナモンのふわりとした香りが、彼女の注意を一瞬にして引きつけた。,"In the detective mystery they were reading, the inspector made an arrest by chapter ten.",彼らが読んでいた推理ミステリー小説では、警部が第10章までに容疑者を逮捕した。
1497,assess,1497,★★★☆☆,verb,評価する,to judge something,Let's assess what ingredients we already have in the pantry before writing the grocery list.,買い出しリストを書く前に、食料庫にどんな食材があるかまずは確認してみよう。,She stepped back across the room to assess whether the framed picture hung straight.,彼女は部屋の反対側まで下がり、額入りの絵がまっすぐ掛かっているか見定めた。,The gardener arrived early to assess any winter storm damage to the fruit trees.,庭師さんは冬の嵐による果樹の被害がないか見極めるため、朝早く到着した。
1498,register,1498,★★★☆☆,noun,登録簿,"an official list, book or system for keeping records",Don't forget to register online for the weekend sourdough bread making workshop.,週末の手作りサワードウパン講座に、忘れずにネットから受講登録しておいてね。,"She waited in a short, friendly line at the grocery store register.",彼女はスーパーのレジの、短くて和やかな列に並んで待った。,It took a quiet moment for the good news of their trip to fully register in his mind.,旅行に行けるという嬉しい知らせが彼の頭の中でじわじわ実感されるまでに、少し時間がかかった。
1499,asset,1499,★★★☆☆,noun,貴重な人材、資産,"a person, skill, or quality which is useful or helps you to succeed; something valuable which is owned",Her cheerful optimism is a wonderful asset that brightens everyone's morning.,彼女の明るい前向きさは、みんなの朝をパッと明るくしてくれる素晴らしい美点だ。,A sunny south-facing kitchen window is a valuable asset for growing fresh herbs.,日当たりの良い南向きのキッチンの窓は、フレッシュハーブを育てるための貴重な宝物だ。,His handy DIY skills with carpentry tools proved to be a great asset when renovating.,大工道具を使った彼の手先の器用さは、家をリフォームする際に大いに役立つ強みとなった。
1500,signal,1500,★★★☆☆,noun,信号,an event or act which shows that something exists or that gives information about something,The morning kettle whistling softly on the stove was the signal that tea was ready.,コンロの上でやかんが静かにピーと鳴ったのが、お茶が入った合図だった。,Bright golden leaves falling from the oak tree signal that autumn is drawing to a close.,オークの木からハラハラと落ちる黄金色の葉は、秋が終わりに近づいているサインだ。,She gave a little cheerful wave to signal that she had found a sunny outdoor table.,日当たりのいいテラス席が見つかったよと伝えるため、彼女は楽しげに小さく手を振った。
1501,finger,1501,★★★☆☆,noun,指,one of the five long parts of the hand that are used for holding things,Be careful not to burn your fingers on the hot soup bowl.,熱いスープのボウルで指を火傷しないように気をつけてね。,She kept her fingers crossed that the sunny weather would last all weekend.,彼女は週末中ずっと晴天が続くようにと指を交差させて祈った。,He gently wiped the sweet frosting off his finger with a napkin.,彼はナプキンで指についた甘いフロスティングをそっと拭き取った。
1502,relevant,1502,★★★☆☆,adjective,関係のある,relating to a subject in an considerable way,Please share any tips that might be relevant to caring for indoor houseplants.,観葉植物のお世話に関連しそうなアドバイスがあれば教えてください。,We checked the weather forecast to gather relevant info before heading to the beach.,私たちはビーチへ向かう前に関連する情報を集めるため天気予報を確認した。,Only bring items that are strictly relevant for our day hike.,日帰りハイキングに本当に関係があるものだけを持ってきてね。
1503,explore,1503,★★★☆☆,verb,探る,to look at (something) in a careful way to learn more about it;  to study or analyze (something),"On Sunday afternoons, we love to explore vintage shops in the old neighborhood.",日曜の午後、私たちは古い街並みにあるビンテージショップを巡るのが大好きだ。,Let's explore different walking trails near the riverside park tomorrow.,明日は川沿いの公園の近くにある別の散策ルートを探検してみよう。,She wants to explore new baking recipes using cinnamon and apples.,彼女はシナモンとリンゴを使った新しいお菓子作りのレシピを試してみたい。
1504,leadership,1504,★★★☆☆,noun,指導権,"a position as a leader of a group, organization, etc.","Under her gentle leadership, the community garden project bloomed wonderfully.",彼女の温かいリーダーシップのもとで、地域菜園プロジェクトは見事に花開いた。,Good leadership in a household means listening patiently to everyone's needs.,家庭での良いリーダーシップとは、みんなの要望に辛抱強く耳を傾けることだ。,He took on the leadership role for planning our neighborhood summer festival.,彼は近所の夏祭りの企画を取りまとめるリーダー役を引き受けた。
1505,commitment,1505,★★★☆☆,noun,約束、義務,a promise or firm decision to do something; something that you must do that takes your time,Adopting a puppy is a big commitment that requires daily love and attention.,子犬を飼うことは、毎日の愛情とお世話を必要とする大きな責任を伴う約束だ。,She made a firm commitment to exercise for twenty minutes every morning.,彼女は毎朝20分運動するという固い決意をした。,We appreciate your kind commitment to helping out at the local charity bake sale.,地元のチャリティーバザーを手伝うというあなたの温かいお気持ちに感謝します。
1506,wake,1506,★★★☆☆,verb,起こす,to cause (a person or animal) to be awake after sleeping,I usually wake up naturally right before my alarm clock rings at seven.,私は普段、7時の目覚まし時計が鳴る直前に自然と目が覚める。,Please whisper so you don't wake the sleeping baby in the nursery.,子供部屋で寝ている赤ちゃんを起こさないように小声で話してね。,The sweet smell of fresh morning coffee always helps me wake up properly.,淹れたてのモーニングコーヒーの甘い香りは、いつも私の目をすっきり覚ましてくれる。
1507,necessarily,1507,★★★☆☆,adverb,必ずしも,(esp. in negatives) in all cases; as an expected result,An expensive pair of shoes is not necessarily the most comfortable one to wear.,高価な靴が必ずしも一番履き心地が良いとは限らない。,Staying home on a rainy day doesn't necessarily mean feeling bored.,雨の日に家にいるからといって、必ずしも退屈するわけではない。,Big portions do not necessarily equal a tastier meal.,量が多いからといって、必ずしも料理がより美味しいとは限らない。
1508,bright,1508,★★★☆☆,adjective,輝く,producing a lot of light,The bright morning sunlight streamed warmly through the sheer living room curtains.,明るい朝の陽ざしが薄手の居間カーテンを通して暖かく差し込んできた。,She wore a bright yellow cardigan that instantly brought cheerful energy to the room.,彼女は部屋の雰囲気を一瞬でパッと明るくする鮮やかな黄色のカーディガンを着ていた。,Those bright starry skies look incredible from our back porch at night.,夜に裏のポーチから眺めるあの輝く満天の星空は信じられないほど素晴らしい。
1509,frame,1509,★★★☆☆,noun,骨組み、体格,the basic structure and shape of the body of a person or animal,We bought a sleek wooden frame to display our favorite vacation photograph.,私たちはお気に入りの旅行写真を飾るためにスマートな木製フレームを買った。,The sturdy metal bed frame was surprisingly straightforward to put together.,その頑丈な金属製ベッドフレームは驚くほど組み立てが簡単だった。,She picked out modern round frames for her new pair of reading glasses.,彼女は新しい読書用メガネに今どきの丸いフレームを選んだ。
1510,slowly,1510,★★★☆☆,adverb,ゆっくりと,at a low speed,"We strolled slowly through the botanical garden, enjoying the fragrant blooming flowers.",私たちは植物園の中をゆっくりと散歩し、咲き誇る花々の香りを楽しんだ。,Stir the melting butter slowly over low heat to keep it from browning.,溶かしているバターが焦げないように、弱火でゆっくりとかき混ぜてね。,The gentle evening breeze slowly cooled the warm summer air.,穏やかな夕方のそよ風が、夏の生暖かい空気をゆっくりと冷ましてくれた。
1511,bond,1511,★★★☆☆,noun,絆,something that is shared between people or groups,Cooking hearty meals together on weekends has created a special bond between us.,週末に一緒に手の込んだ料理を作ることで、私たちの間に特別な絆が生まれた。,There is an unbreakable bond of trust between the little girl and her rescue dog.,小さな女の子と保護犬の間には、揺るぎない信頼の絆がある。,A strong wood glue provides a durable bond for fixing broken chair legs.,強力な木工用ボンドは、壊れた椅子の脚を直すのにしっかりとした接着力を発揮する。
1512,hire,1512,★★★☆☆,verb,雇う,to give work or a job to (someone) in exchange for wages or a salary,We decided to hire a friendly local guide during our city walking tour.,私たちは街の徒歩ツアーの際に、親切な地元のガイドを雇うことにした。,The neighborhood bakery wants to hire an assistant baker for the busy weekend shifts.,近所のパン屋さんは忙しい週末シフトのために助手のパン職人を募集している。,"Instead of buying lawn equipment, we can hire a professional landscaper once a month.",芝刈り機を買う代わりに、月に1回専門の造園業者に依頼することもできるよ。
1513,hole,1513,★★★☆☆,noun,穴,an opening into or through something,Our golden retriever dug a playful little hole right in the backyard flowerbed.,うちのゴールデンレトリバーが裏庭の花壇にいたずらっぽい小さな穴を掘った。,She neatly stitched the small hole in the elbow of her favorite wool sweater.,彼女はお気に入りのウールセーターの肘に開いた小さな穴をきれいに繕った。,The doughnut with a hole in the center was sprinkled with fresh cinnamon sugar.,真ん中に穴が開いたドーナツに、シナモンシュガーがたっぷり振りかけられていた。
1514,tie,1514,★★★☆☆,verb,つなげる,"to attach (someone or something) to something with a string, rope, etc.",Please tie your shoelaces tightly so you don't trip while jogging on the track.,トラックを走っている最中に転ばないよう、靴ひもをしっかり結んでね。,He wore a stylish navy silk tie to his best friend's wedding reception.,彼は親友の結婚披露宴におしゃれなネイビーのシルクネクタイを締めて出席した。,She used a green garden twine to tie up the heavy tomato plants.,彼女は重くなったトマトの苗を支柱に結びつけるため緑色の園芸ひもを使った。
1515,internal,1515,★★★☆☆,adjective,内部の,existing or situated on the inside of something,Maintaining internal peace and calm helps you navigate hectic weekdays.,心の内面の平穏と落ち着きを保つことが、慌ただしい平日を乗り切る助けになる。,They repainted the internal walls of the house with a soothing warm cream shade.,彼らは家の中の壁を落ち着きのある温かいクリーム色で塗り直した。,Our team held a quick internal meeting to discuss recipe ideas for the cooking club.,私たちのチームは料理クラブのレシピのアイデアを話し合うため簡単な内輪ミーティングを開いた。
1516,chain,1516,★★★☆☆,noun,鎖,"a series of usually metal links or rings that are connected to each other in a line and used for supporting heavy things, for holding things together, for decoration, etc.",She wore a delicate silver chain with an engraved heart pendant around her neck.,彼女は首元に刻印入りのハート型ペンダントがついた繊細なシルバーチェーンを着けていた。,We wrapped a protective chain around our bicycles and locked them to the post.,私たちは自転車に保護用チェーンを巻きつけて柱に施錠した。,A quaint local coffee shop opened right across from the giant bakery chain.,大手ベーカリーチェーンの真向かいに、趣のある個人経営のコーヒー店がオープンした。
1517,literature,1517,★★★☆☆,noun,文学,"written works (such as poems, plays, and novels) that are considered to be very good and to have lasting importance",Reading classic British literature in front of a warm fireplace is my winter joy.,温かい暖炉の前でイギリスの古典文学を読むのが、私の冬の楽しみです。,She picked up several pieces of informative travel literature at the tourist booth.,彼女は観光案内所で何冊かのためになる旅行パンフレットを手にした。,Children's literature filled with magical animals sparked his early imagination.,魔法の動物たちが登場する児童文学が、幼い頃の彼の想像力をかき立てた。
1518,victim,1518,★★★☆☆,noun,犠牲者,"someone who has suffered the effects of violence, illness, or bad luck",Don't fall victim to impulsive online shopping when you are feeling tired.,疲れている時に、衝動的なネット通販の誘惑に負けないようにね。,Our potted basil fell victim to a hungry little caterpillar in the herb patch.,ハーブ畑の鉢植えバジルが、お腹をすかせた小さな青虫の被害に遭ってしまった。,The neighborhood rallied together to collect warm blankets for flood victims.,近所の人たちが力を合わせ、水害の被災者に届ける温かい毛布を集めた。
1519,threaten,1519,★★★☆☆,verb,脅かす,to say that you will harm someone or do something unpleasant or unwanted especially in order to make someone do what you want,Dark storm clouds threatened to ruin our planned outdoor picnic in the meadow.,暗い雨雲が、草原で予定していた屋外ピクニックを台無しにしかねない空模様だった。,Sudden frost can threaten delicate budding flowers in early spring gardens.,早春の庭では、突然の霜が繊細な花のつぼみを脅かすことがある。,Constant procrastination will threaten your chances of a restful weekend.,何でも後回しにし続けていると、穏やかな週末を過ごすチャンスが危うくなるよ。
1520,division,1520,★★★☆☆,noun,分割,one of the parts into which a thing is divided,Fair division of household chores keeps everyone happy and relaxed.,家事を公平に分担することが、みんなが幸せで気持ちよく過ごすコツだ。,The wooden shelf has a built-in division separating spice jars from dry grains.,その木製棚にはスパイス瓶と乾燥穀物を分ける仕切りがあらかじめついている。,A clear division between working hours and evening relaxation brings peace of mind.,仕事の時間と夜のくつろぎの時間を明確に分けることで、心のゆとりが生まれる。
1521,secure,1521,★★★☆☆,verb,確保する,"protected from danger or harm, keep things safe",Make sure to secure the lid on the cookie jar so the treats stay crunchy.,お菓子がサクサクのまま保てるよう、クッキー瓶のフタをしっかり閉めてね。,We managed to secure two front-row tickets for Saturday's acoustic concert.,私たちは土曜日のアコースティックコンサートの前列チケットを何とか確保できた。,Holding her hand tightly made the little boy feel safe and secure in the crowd.,手をぎゅっと握ってもらったことで、その男の子は人混みの中でも安心感を持てた。
1522,amaze,1522,★★★☆☆,verb,驚かす,to make someone very surprised,The vibrant colors of the autumn leaves in the park never fail to amaze me.,公園の紅葉の鮮やかな色彩には、いつ見ても驚かされ感動させられる。,Her clever ability to bake delicious crusty bread from scratch will amaze you.,ゼロから見事なサクサクのパンを焼き上げる彼女の腕前には驚かされるよ。,The friendly street magician managed to amaze the whole crowd with his coin tricks.,親しみやすい路上手品師は、コインマジックで観客全員をあっけにとらせた。
1523,device,1523,★★★☆☆,noun,装置,"an object, machine, or equipment for a specific use",This handy kitchen device peels and slices apples in just five seconds.,この便利な調理器具は、たった5秒でリンゴの皮をむいてスライスしてくれる。,Turn off any glowing electronic device at least an hour before bedtime.,就寝の少なくとも1時間前には、光る電子機器の電源を切りましょう。,A smart thermometer is a useful device for monitoring baby's bathwater heat.,スマート温度計は、赤ちゃんの沐浴のお湯加減をチェックするのに便利な装置だ。
1524,birth,1524,★★★☆☆,noun,誕生,the time when a baby comes out from the body of its mother,The joyful birth of their baby girl brought the entire extended family together.,女の子の喜ばしい誕生が、親戚一同を一つに結びつけた。,She keeps a memory box with tiny booties saved from her son's birth.,彼女は息子の誕生時の小さなベビーシューズを記念の小箱に大切に保管している。,Springtime always marks the lively birth of fresh green sprouts in the garden.,春はいつだって、庭の瑞々しい新芽の活気ある芽吹きを告げてくれる。
1525,forest,1525,★★★☆☆,noun,森,a thick growth of trees and bushes that covers a large area,A quiet walk through the pine forest always refreshes my mind after work.,仕事の後に松林の静かな森を散歩すると、いつでも気分がリフレッシュする。,Sunlight filtered gently through the green canopy of the ancient forest.,原生林の緑の木々の葉の隙間から、木漏れ日が優しく差し込んでいた。,We listened to chirping songbirds while pitching our tent near the edge of the forest.,森の端近くにテントを張りながら、私たちは小鳥のさえずりに耳を澄ませた。
1526,label,1526,★★★☆☆,noun,ラベル,an attached piece of paper used to identify something,Always check the nutrition label on grocery boxes for unexpected added sugars.,予期せぬ糖分が入っていないか、食品の箱の栄養成分ラベルを必ず確認してね。,She attached a colorful handwritten label to every homemade jam jar.,彼女は手作りのジャム瓶の１つ１つにカラフルな手書きのラベルを貼った。,Read the washing care label before putting your delicate wool sweater in the machine.,デリケートなウールセーターを洗濯機に入れる前に、洗濯表示ラベルを読んでね。
1527,root,1527,★★★☆☆,noun,根,"the part of a plant that grows underground, gets water from the ground, and holds the plant in place","Deep watering encourages garden tomato plants to grow strong, healthy roots.",根元にたっぷり水をやると、庭のトマトの苗が強く丈夫な根を張るようになる。,Ginger root adds a delightful zing to hot lemon tea during chilly winter evenings.,生姜の根は、肌寒い冬の夜に飲むホットレモンティーに心地よい刺激を添えてくれる。,"Kind communication is at the root of every lasting, happy friendship.",思いやりのある対話こそが、長く続く幸せな友情の根底にある。
1528,factory,1528,★★★☆☆,noun,工場,a building or group of buildings where products are made,The old brick factory down by the canal was converted into lovely artist lofts.,運河沿いにあった古いレンガ造りの工場は、素敵なアーティストのアトリエに改装された。,We took an interesting guided tour of the local chocolate factory last autumn.,私たちは去年の秋、地元のチョコレート工場の面白い見学ツアーに参加した。,Fresh sourdough bread is baked daily at the artisanal flour factory bakery.,職人の製粉工場併設ベーカリーでは、毎日焼きたてのサワードウブレッドが作られている。
1529,expense,1529,★★★☆☆,noun,費用,the amount of money that is needed to pay for or buy something,Cooking simple meals at home saves a significant amount of monthly food expense.,家で簡単な料理を作ることで、毎月の食費のかなりの節約になる。,Replacing worn draft seals on windows was a small expense that lowered our heating bill.,窓のすり減った隙間テープの交換は、暖房費を抑えるわずかな出費ですんだ。,We set aside a travel fund so that vacation lodging won't be a stressful expense.,旅行の宿泊代がストレスな出費にならないよう、私たちは旅費の積立をしている。
1530,channel,1530,★★★☆☆,noun,チャンネル,"a station of TV, or radio",Let's switch to the nature channel and watch that calming documentary about sea otters.,ネイチャーチャンネルに替えて、ラッコの心癒やされるドキュメンタリーを見ようよ。,They dug a narrow stone channel through the vegetable patch to divert rainwater runoff.,彼らは雨水の排水を逃がすため、家庭菜園の中に細い石積みの水路を掘った。,Watching her favorite cooking channel always inspires new dinner recipe ideas.,お気に入りの料理チャンネルを見ると、いつも晩ごはんの新しいアイデアが湧いてくる。
1531,investigate,1531,★★★☆☆,verb,調査する,"to try to find out the facts, to carry out research",Let me investigate where that mysterious draft in the hallway is blowing from.,廊下のあの謎のすきま風がどこから吹き込んでいるのか調べてみるね。,The curious cat decided to investigate the crinkling brown paper bag on the floor.,好奇心旺盛な猫は、床の上でカサカサ音を立てる茶色い紙袋の正体を確かめようとした。,We should investigate why the oven temperature runs slightly cooler than the dial setting.,オーブンの温度がダイヤルの設定温度より少し低くなる原因を調べるべきだね。
1532,recommendation,1532,★★★☆☆,noun,推薦,a piece of advice about what to do in a particular situation; a suggestion about something that is good in a certain situation,"Thanks to your thoughtful recommendation, that little Italian trattoria was delicious.",あなたの親切なおすすめのおかげで、あの小さなイタリアン食堂はとても美味しかった。,She followed the doctor's gentle recommendation to drink more herbal tea and rest.,彼女はもっとハーブティーを飲んで休むようにという医師の温かい助言に従った。,Do you have a personal recommendation for a good mystery novel to read on vacation?,休暇中に読むのに良いミステリー小説の、あなた個人的なおすすめってある？
1533,rank,1533,★★★☆☆,noun,階級、地位,"a position in a society, organization, group, etc.",This homemade pumpkin soup ranks among the best meals we have ever cooked.,この手作りかぼちゃスープは、私たちが今まで作った料理の中でも最高峰に位置づけられる。,Fresh strawberries rank highest on my list of favorite summer fruits.,摘みたてのいちごは、私の大好きな夏のフルーツの中で堂々の一位だ。,Our quiet local library holds top rank for friendly community service.,私たちの静かな地域図書館は、親切な地域サービスにおいて最高の評価を得ている。
1534,typical,1534,★★★☆☆,adjective,典型的な,"having all the qualities you expect a particular person, object, place, etc. to have","A typical Sunday morning at our house involves pancakes, hot coffee, and soft music.",うちの典型的な日曜の朝といえば、パンケーキと温かいコーヒー、そして静かな音楽だ。,It is typical for our cat to find the sunniest patch of rug for her afternoon nap.,午後の昼寝のためにじゅうたんの上一番日当たりのいい場所を見つけるのは、うちの猫のお決まりだ。,Crisp toast with butter and marmalade is a typical quick breakfast when in a rush.,急いでいるとき、バターとマーマレードを塗ったカリカリのトーストは定番の簡単朝食だ。
1535,west,1535,★★★☆☆,noun,西,the direction where the sun sets; opposite of east,"The evening sun set slowly in the west, painting the clouds in brilliant shades of pink.",夕日が西にゆっくりと沈み、雲を鮮やかなピンク色のグラデーションに染め上げた。,"We drove west along the coast road, admiring the sparkling ocean waves.",私たちはきらめく海の波を眺めながら、海岸沿いの道路を西へと車を走らせた。,"Our living room windows face west, letting in lovely golden light every late afternoon.",居間の窓が西を向いているので、毎夕方になると美しい黄金色の光が差し込んでくる。
1536,friendly,1536,★★★☆☆,adjective,友好的,acting like a friend : kind and helpful,"The barista at our corner cafe always greets us with a warm, friendly smile.",街角のカフェのバリスタは、いつも温かく親しみやすい笑顔で私たちを迎えてくれる。,Our golden retriever is exceptionally friendly with all the children in the neighborhood.,うちのゴールデンレトリバーは、近所の子供たちみんなに対してとびきり人懐っこい。,A friendly neighbor brought over a loaf of fresh zucchini bread this morning.,親切なご近所さんが、今朝焼きたてのズッキーニブレッドを一切れ持ってきてくれた。
1537,resident,1537,★★★☆☆,adjective,居住者,someone who lives in a particular place,Every resident on our tree-lined street takes great pride in their front flower garden.,並木道に面した私たちの通りの住民はみんな、前庭の花壇にとても誇りを持っている。,"As a longtime resident of the town, she knows all the best walking trails by heart.",その町の長年の住民として、彼女は最高の散策トレイルを隅々まで知り尽くしている。,The apartment resident hosted a welcoming tea party for the newly arrived family.,そのアパートの住民は、新しく引っ越してきた家族のために歓迎のお茶会を開いた。
1538,provision,1538,★★★☆☆,noun,規定,a rule that is part of a law or an agreement,"We packed ample provisions of dried fruit, nuts, and water bottles for our day hike.",私たちは日帰りハイキングのために、ドライフルーツやナッツ、水筒などの食料をたっぷり詰めた。,Making provision for emergency candles and batteries is wise before winter storms.,冬の嵐が来る前に、非常用のロウソクや乾電池を備えておくのは賢明なことだ。,The cozy cabin's pantry held generous provision of tea leaves and rolled oats.,居心地のいい山小屋の食料棚には、茶葉とオートミールが惜しみなく備蓄されていた。
1539,concentrate,1539,★★★☆☆,verb,集中する,to think about or give attention to something,Soft instrumental guitar music helps me concentrate while reading a good book.,穏やかなアコースティックギターの音楽は、良い本を読んでいる時に集中するのを助けてくれる。,Please concentrate on measuring the baking yeast accurately so the bread dough rises.,パン生地がちゃんと膨らむように、イーストを正確に量ることに集中してね。,I need a quiet corner where I can concentrate on planning our weekend travel itinerary.,週末の旅行日程を計画することに集中できる、静かな一角が必要なんだ。
1540,plenty,1540,★★★☆☆,adjective,たくさんの,a large number or amount of something;  a number or amount of something that is enough for a particular purpose,"Don't worry about breakfast; we have plenty of fresh eggs, milk, and ripe bananas.",朝ごはんの心配はしないで。新鮮な卵や牛乳、熟したバナナがたっぷりあるから。,There was plenty of warm seating on the living room rug for all our holiday guests.,リビングのじゅうたんの上には、休日に訪れたゲスト全員がくつろげる十分な座席スペースがあった。,Take your sweet time finishing that chapter; we have plenty of time before the movie begins.,その章を読み終えるまでゆっくりしてね。映画が始まるまで時間はたっぷりあるから。
